196u,242i,3
22u,377i,1
244u,51i,2
166u,346i,1
298u,474i,4
115u,265i,2
305u,451i,3
6u,86i,3
62u,257i,2
200u,222i,5
210u,40i,3
224u,29i,3
122u,387i,5
194u,274i,2
119u,392i,4
299u,144i,4
291u,118i,2
308u,1i,4
63u,277i,4
160u,234i,5
50u,246i,3
301u,98i,4
225u,193i,4
290u,88i,4
97u,194i,3
157u,274i,4
7u,32i,4
10u,16i,4
284u,304i,4
287u,327i,5
246u,201i,5
249u,241i,5
99u,4i,5
178u,332i,3
251u,100i,4
81u,432i,2
260u,322i,4
25u,181i,5
59u,196i,5
87u,384i,4
290u,143i,5
42u,423i,5
115u,20i,3
20u,288i,1
201u,219i,4
138u,26i,5
60u,427i,5
57u,304i,5
243u,15i,3
246u,416i,3
194u,165i,4
178u,248i,4
293u,5i,3
127u,229i,5
225u,237i,5
299u,229i,3
225u,480i,5
276u,54i,3
291u,144i,5
222u,366i,4
42u,403i,3
8u,338i,4
162u,25i,4
279u,154i,5
145u,275i,2
62u,498i,4
62u,382i,3
28u,209i,4
135u,23i,4
32u,294i,3
90u,382i,5
286u,208i,4
216u,144i,4
166u,328i,5
250u,496i,4
271u,132i,5
160u,174i,5
265u,118i,4
198u,498i,3
42u,96i,5
168u,151i,5
110u,307i,4
58u,144i,4
271u,346i,4
62u,21i,3
128u,485i,3
298u,317i,4
44u,195i,5
264u,200i,5
194u,385i,2
72u,195i,5
250u,264i,3
41u,265i,3
224u,245i,3
82u,135i,3
293u,471i,3
250u,140i,3
59u,23i,5
286u,379i,5
7u,479i,4
174u,368i,1
87u,274i,4
13u,272i,4
305u,427i,5
43u,14i,2
57u,419i,3
84u,405i,3
299u,111i,3
194u,466i,4
160u,135i,4
99u,268i,3
10u,486i,4
259u,117i,4
85u,427i,3
213u,273i,5
90u,98i,5
155u,323i,2
68u,117i,4
172u,177i,4
19u,4i,4
268u,231i,4
5u,2i,3
305u,117i,2
44u,294i,4
43u,137i,4
80u,466i,5
254u,164i,4
298u,281i,3
66u,298i,4
18u,443i,3
99u,79i,4
13u,98i,4
26u,258i,3
7u,455i,4
119u,328i,4
213u,172i,5
276u,322i,3
130u,379i,4
130u,216i,4
256u,452i,4
1u,61i,4
72u,48i,4
13u,360i,4
15u,405i,2
92u,77i,3
207u,476i,2
292u,174i,5
232u,483i,5
224u,26i,3
181u,220i,4
259u,255i,4
305u,471i,4
52u,280i,3
161u,202i,5
148u,408i,5
97u,228i,5
83u,234i,4
90u,347i,4
272u,178i,5
194u,181i,3
125u,478i,4
