0,1,2,3
0,9101,4,6
1,1996,4,7
1,2255,4,7
2,5237,5,3
2,4283,0,3
3,5980,4,2
4,2414,4,4
4,5073,2,4
4,9982,4,4
4,1916,3,4
4,1547,4,4
4,1785,3,4
4,8103,1,4
4,7623,3,5
4,838,3,5
5,9101,0,6
5,4499,1,6
5,6984,0,6
5,6539,2,6
6,4653,4,6
6,1789,1,6
14,1383,0,7
14,3669,0,7
14,4653,0,7
14,5237,4,7
14,810,0,7
14,2901,3,7
14,5540,0,7
15,9101,4,5
15,684,0,5
15,3610,3,5
15,6608,0,5
18,7179,0,7
19,2255,4,5
20,9101,4,3
24,9101,3,5
24,6337,4,5
25,9101,4,2
27,6179,5,3
27,1127,0,4
27,6995,1,5
27,2184,2,5
29,853,1,7
29,5832,1,7
31,9067,3,6
32,3669,0,4
32,2128,3,4
32,1103,4,4
33,1127,4,2
33,2164,3,3
33,5237,3,3
34,9418,0,4
34,3591,0,4
34,1315,5,4
34,8585,0,4
34,8420,0,4
34,9598,5,4
34,8857,5,4
34,8214,0,4
34,5231,0,4
34,9625,0,4
34,5328,0,4
34,1785,0,4
34,2406,0,4
34,2674,0,4
34,7254,0,4
35,4070,2,7
35,1785,3,7
35,2452,4,7
37,9101,4,2
37,5408,0,2
37,2984,0,2
37,616,5,2
37,8577,0,2
37,3359,5,2
37,160,5,2
37,4283,2,2
37,2214,4,2
37,4132,5,2
37,6925,0,2
37,3527,4,2
37,7845,0,2
37,5771,4,2
37,9339,0,2
37,7162,0,2
37,3817,0,2
37,9528,0,2
37,9240,0,3
37,2490,0,3
37,6059,0,3
37,923,0,3
37,323,4,3
37,4196,0,3
37,4957,5,3
37,5570,0,3
37,9971,4,3
37,2582,5,3
37,6473,5,3
37,4825,5,3
37,1192,4,3
37,3600,0,3
37,2502,4,3
37,7945,4,3
37,4958,0,3
37,5893,3,3
37,2602,4,3
37,4743,0,3
37,1596,0,3
37,2658,5,3
37,9782,0,3
37,2631,4,3
37,4424,4,3
37,4741,4,3
37,9558,4,3
37,1785,0,3
37,8462,4,3
37,9267,0,3
37,9277,4,3
37,3038,5,3
37,9598,5,3
37,1045,4,3
37,5319,4,3
37,375,5,3
37,7733,4,4
37,8857,4,4
37,7531,3,4
37,7490,1,4
37,1450,2,4
37,6348,1,4
37,8420,3,4
37,1551,3,4
37,5607,2,4
37,895,2,4
37,5328,2,4
37,4643,3,4
37,5844,3,4
37,9686,2,4
37,5628,0,4
37,6539,2,5
37,2499,3,5
37,648,2,5
37,7830,2,5
37,7744,2,5
37,347,2,5
37,757,3,5
37,1996,3,5
37,5024,3,5
37,4577,2,5
37,7771,4,6
39,6264,0,4
39,5607,2,4
39,3669,1,4
40,4283,0,2
40,9101,0,3
40,160,5,3
40,6984,0,4
40,9018,0,4
40,2309,4,4
43,2184,4,5
45,6676,4,4
45,4483,3,4
45,7465,2,4
45,6903,4,4
45,9459,4,4
45,8342,2,4
45,1483,0,5
45,323,2,6
45,4653,4,6
45,3669,0,6
45,5923,4,6
45,6539,2,6
45,2255,4,6
45,2495,4,6
45,9649,2,6
45,8606,4,6
45,2384,4,6
45,7409,4,6
45,3742,4,6
45,7623,0,7
49,9459,4,6
49,9190,4,6
49,2184,4,6
49,968,4,6
49,6897,4,6
49,2309,3,6
49,4584,3,6
49,4643,5,7
49,2667,4,7
49,9349,4,8
49,3193,4,8
49,3920,1,8
49,538,1,8
49,7648,4,8
49,4139,4,8
49,9491,3,8
49,2724,1,8
49,8132,3,8
49,8851,2,8
53,3171,0,5
53,3664,0,5
53,7919,0,5
53,6268,2,5
53,4557,0,5
53,9409,2,5
53,2407,4,5
53,2878,0,5
53,5091,4,5
53,1574,2,5
53,9705,4,5
53,1307,1,5
53,2596,3,5
53,7749,2,5
53,2801,0,5
53,3871,3,5
53,9018,2,5
53,4707,0,5
53,364,4,5
53,7296,0,5
56,9101,0,5
56,3541,0,5
61,9101,4,2
62,9324,0,4
63,5575,0,6
63,5714,4,6
63,1733,4,6
63,7423,1,6
63,4283,1,6
67,5819,4,8
68,2895,4,7
68,2969,3,7
68,7757,0,7
68,4643,2,7
68,1315,1,7
68,4793,1,7
68,6984,2,7
68,347,2,7
68,6539,1,7
68,3359,4,7
68,7348,1,7
68,4820,2,7
68,2502,3,7
68,1738,1,7
68,7232,3,7
68,8627,0,7
68,4584,1,7
68,7693,1,7
68,9636,0,7
68,8155,0,7
68,1450,2,7
68,8438,3,7
68,9639,2,7
68,6473,2,7
68,7863,4,7
68,9,4,7
68,8420,0,7
68,6770,2,7
68,3814,0,7
68,4132,1,7
68,9435,2,7
68,2602,3,7
68,5637,1,7
68,2954,0,7
68,1504,3,7
68,160,4,7
68,3973,3,7
68,7989,1,7
68,9334,0,7
68,8565,0,7
68,4141,0,7
68,757,4,7
68,8918,2,7
68,5698,1,7
68,7421,1,7
68,8861,0,7
68,584,4,7
